what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.1.3.v20090128,org.eclipse.jst.jsf.facesconfig.ui,1253193532180
stopped,bundle,org.eclipse.jst.jsf.ui,1.1.102.v20090128,org.eclipse.jst.jsf.ui,1253193532181
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.1.1.v20090129,org.eclipse.jst.pagedesigner.jsf.ui,1253193532183
stopped,bundle,org.eclipse.jst.pagedesigner,1.1.1.v200902051421,org.eclipse.jst.pagedesigner,1253193532185
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.1.0.v20080605,org.eclipse.jst.jsf.common.ui,1253193532186
stopped,bundle,org.eclipse.jst.jsf.core,1.1.103.v200902042324,org.eclipse.jst.jsf.core,1253193532186
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.1.102.v20090128,org.eclipse.jst.jsf.standard.tagsupport,1253193532187
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.1.0.v20080605,org.eclipse.jst.pagedesigner.jsp.core,1253193532187
stopped,bundle,org.eclipse.jst.jsf.common,1.1.4.v20090128,org.eclipse.jst.jsf.common,1253193532187
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.103.v200810081720,org.eclipse.wst.jsdt.web.support.jsp,1253193532188
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.ui,1253193532189
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.202.v200806190413,org.eclipse.jst.ws.axis2.ui,1253193532189
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.300.v200805140230,org.eclipse.jst.ws.uddiregistry,1253193532190
stopped,bundle,org.eclipse.jst.ws.ui,1.0.304.v200901271844,org.eclipse.jst.ws.ui,1253193532191
stopped,bundle,com.instantiations.designer.swing.FormLayout,7.1.0.200908260949,com.instantiations.designer.swing.FormLayout,1253193532211
stopped,bundle,com.instantiations.designer.swing.LookAndFeel,7.1.0.200908260949,com.instantiations.designer.swing.LookAndFeel,1253193532211
stopped,bundle,com.instantiations.designer.swing.MigLayout,7.1.0.200908260949,com.instantiations.designer.swing.MigLayout,1253193532212
stopped,bundle,com.instantiations.designer.swing.hc,7.1.0.200908260949,com.instantiations.designer.swing.hc,1253193532212
stopped,bundle,com.instantiations.designer.swing,7.1.0.200908260949,com.instantiations.designer.swing,1253193532221
stopped,bundle,com.instantiations.designer.core.apiImpl,7.1.0.200908260929,com.instantiations.designer.core.apiImpl,1253193532221
stopped,bundle,com.instantiations.designer.core,7.1.0.200908260929,com.instantiations.designer.core,1253193532222
stopped,bundle,com.instantiations.eclipse.ui,7.1.0.200908252135,com.instantiations.eclipse.ui,1253193532222
stopped,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1253193532225
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.ui,1253193532225
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ui,1253193532226
